[ Valid | 001/600 ] loss = 2.40914, acc = 0.14100 -> best epoch 0
[ Valid | 002/600 ] loss = 2.41274, acc = 0.14735 -> best epoch 1
[ Valid | 003/600 ] loss = 2.41172, acc = 0.14830 -> best epoch 2
[ Valid | 004/600 ] loss = 1.92000, acc = 0.32405 -> best epoch 3
[ Valid | 005/600 ] loss = 1.71794, acc = 0.37462 -> best epoch 4
[ Valid | 006/600 ] loss = 1.60388, acc = 0.45843 -> best epoch 5
[ Valid | 007/600 ] loss = 1.43600, acc = 0.47405 -> best epoch 6
[ Valid | 008/600 ] loss = 1.22442, acc = 0.57292 -> best epoch 7
[ Valid | 009/600 ] loss = 1.18944, acc = 0.57187  epoch 8
[ Valid | 010/600 ] loss = 1.12390, acc = 0.60928 -> best epoch 9
[ Valid | 011/600 ] loss = 1.16994, acc = 0.58551  epoch 10
[ Valid | 012/600 ] loss = 1.11436, acc = 0.60994 -> best epoch 11
[ Valid | 013/600 ] loss = 0.98280, acc = 0.65436 -> best epoch 12
[ Valid | 014/600 ] loss = 1.05126, acc = 0.64100  epoch 13
[ Valid | 015/600 ] loss = 0.94405, acc = 0.67339 -> best epoch 14
[ Valid | 016/600 ] loss = 0.76514, acc = 0.73883 -> best epoch 15
[ Valid | 017/600 ] loss = 0.80743, acc = 0.73400  epoch 16
[ Valid | 018/600 ] loss = 0.84874, acc = 0.69394  epoch 17
[ Valid | 019/600 ] loss = 0.69731, acc = 0.75521 -> best epoch 18
[ Valid | 020/600 ] loss = 0.67963, acc = 0.77358 -> best epoch 19
[ Valid | 021/600 ] loss = 0.70546, acc = 0.76165  epoch 20
[ Valid | 022/600 ] loss = 0.67314, acc = 0.76127  epoch 21
[ Valid | 023/600 ] loss = 0.56689, acc = 0.79413 -> best epoch 22
[ Valid | 024/600 ] loss = 0.57379, acc = 0.80237 -> best epoch 23
[ Valid | 025/600 ] loss = 0.54644, acc = 0.80900 -> best epoch 24
[ Valid | 026/600 ] loss = 0.89576, acc = 0.67481  epoch 25
[ Valid | 027/600 ] loss = 0.49762, acc = 0.81894 -> best epoch 26
[ Valid | 028/600 ] loss = 0.46059, acc = 0.83087 -> best epoch 27
[ Valid | 029/600 ] loss = 0.49388, acc = 0.82623  epoch 28
[ Valid | 030/600 ] loss = 0.46638, acc = 0.83807 -> best epoch 29
[ Valid | 031/600 ] loss = 0.48998, acc = 0.81648  epoch 30
[ Valid | 032/600 ] loss = 0.51062, acc = 0.82140  epoch 31
[ Valid | 033/600 ] loss = 0.47837, acc = 0.84138 -> best epoch 32
[ Valid | 034/600 ] loss = 0.43600, acc = 0.86165 -> best epoch 33
[ Valid | 035/600 ] loss = 0.44550, acc = 0.83703  epoch 34
[ Valid | 036/600 ] loss = 0.50425, acc = 0.81383  epoch 35
[ Valid | 037/600 ] loss = 0.39841, acc = 0.86723 -> best epoch 36
[ Valid | 038/600 ] loss = 0.50045, acc = 0.82159  epoch 37
[ Valid | 039/600 ] loss = 0.36421, acc = 0.86373  epoch 38
[ Valid | 040/600 ] loss = 0.38306, acc = 0.86458  epoch 39
[ Valid | 041/600 ] loss = 0.54770, acc = 0.81572  epoch 40
[ Valid | 042/600 ] loss = 0.38521, acc = 0.87045 -> best epoch 41
[ Valid | 043/600 ] loss = 0.43858, acc = 0.85123  epoch 42
[ Valid | 044/600 ] loss = 0.41614, acc = 0.86259  epoch 43
[ Valid | 045/600 ] loss = 0.42116, acc = 0.85170  epoch 44
[ Valid | 046/600 ] loss = 0.36456, acc = 0.85436  epoch 45
[ Valid | 047/600 ] loss = 0.39617, acc = 0.84555  epoch 46
[ Valid | 048/600 ] loss = 0.41105, acc = 0.85218  epoch 47
[ Valid | 049/600 ] loss = 0.33679, acc = 0.88570 -> best epoch 48
[ Valid | 050/600 ] loss = 0.33867, acc = 0.87926  epoch 49
[ Valid | 051/600 ] loss = 0.37021, acc = 0.86061  epoch 50
[ Valid | 052/600 ] loss = 0.35188, acc = 0.88343  epoch 51
[ Valid | 053/600 ] loss = 0.35814, acc = 0.86837  epoch 52
[ Valid | 054/600 ] loss = 0.42389, acc = 0.85379  epoch 53
[ Valid | 055/600 ] loss = 0.32736, acc = 0.88239  epoch 54
[ Valid | 056/600 ] loss = 0.36806, acc = 0.86619  epoch 55
[ Valid | 057/600 ] loss = 0.39356, acc = 0.86468  epoch 56
[ Valid | 058/600 ] loss = 0.34593, acc = 0.88551  epoch 57
[ Valid | 059/600 ] loss = 0.30648, acc = 0.89640 -> best epoch 58
[ Valid | 060/600 ] loss = 0.40886, acc = 0.87462  epoch 59
[ Valid | 061/600 ] loss = 0.31057, acc = 0.88295  epoch 60
[ Valid | 062/600 ] loss = 0.37781, acc = 0.86629  epoch 61
[ Valid | 063/600 ] loss = 0.35859, acc = 0.87311  epoch 62
[ Valid | 064/600 ] loss = 0.35687, acc = 0.87983  epoch 63
[ Valid | 065/600 ] loss = 0.40737, acc = 0.85634  epoch 64
[ Valid | 066/600 ] loss = 0.32205, acc = 0.86364  epoch 65
[ Valid | 067/600 ] loss = 0.32922, acc = 0.89508  epoch 66
[ Valid | 068/600 ] loss = 0.34884, acc = 0.86477  epoch 67
[ Valid | 069/600 ] loss = 0.35921, acc = 0.87566  epoch 68
[ Valid | 070/600 ] loss = 0.33817, acc = 0.86989  epoch 69
[ Valid | 071/600 ] loss = 0.27522, acc = 0.90379 -> best epoch 70
[ Valid | 072/600 ] loss = 0.30293, acc = 0.90227  epoch 71
[ Valid | 073/600 ] loss = 0.29745, acc = 0.89801  epoch 72
[ Valid | 074/600 ] loss = 0.34824, acc = 0.87206  epoch 73
[ Valid | 075/600 ] loss = 0.31969, acc = 0.88873  epoch 74
[ Valid | 076/600 ] loss = 0.40767, acc = 0.87140  epoch 75
[ Valid | 077/600 ] loss = 0.28665, acc = 0.90379  epoch 76
[ Valid | 078/600 ] loss = 0.34473, acc = 0.88352  epoch 77
[ Valid | 079/600 ] loss = 0.32856, acc = 0.89451  epoch 78
[ Valid | 080/600 ] loss = 0.31733, acc = 0.90057  epoch 79
[ Valid | 081/600 ] loss = 0.33864, acc = 0.88504  epoch 80
[ Valid | 082/600 ] loss = 0.30780, acc = 0.88655  epoch 81
[ Valid | 083/600 ] loss = 0.33259, acc = 0.89129  epoch 82
[ Valid | 084/600 ] loss = 0.35445, acc = 0.88504  epoch 83
[ Valid | 085/600 ] loss = 0.32861, acc = 0.89498  epoch 84
[ Valid | 086/600 ] loss = 0.38826, acc = 0.88504  epoch 85
[ Valid | 087/600 ] loss = 0.31273, acc = 0.89375  epoch 86
[ Valid | 088/600 ] loss = 0.29632, acc = 0.91155 -> best epoch 87
[ Valid | 089/600 ] loss = 0.30302, acc = 0.90473  epoch 88
[ Valid | 090/600 ] loss = 0.40918, acc = 0.86686  epoch 89
[ Valid | 091/600 ] loss = 0.34264, acc = 0.90161  epoch 90
[ Valid | 092/600 ] loss = 0.28308, acc = 0.90852  epoch 91
[ Valid | 093/600 ] loss = 0.39667, acc = 0.88134  epoch 92
[ Valid | 094/600 ] loss = 0.32990, acc = 0.89697  epoch 93
[ Valid | 095/600 ] loss = 0.32708, acc = 0.88864  epoch 94
[ Valid | 096/600 ] loss = 0.26802, acc = 0.91686 -> best epoch 95
[ Valid | 097/600 ] loss = 0.37698, acc = 0.87831  epoch 96
[ Valid | 098/600 ] loss = 0.29489, acc = 0.91212  epoch 97
[ Valid | 099/600 ] loss = 0.33202, acc = 0.88343  epoch 98
[ Valid | 100/600 ] loss = 0.30789, acc = 0.90436  epoch 99
[ Valid | 101/600 ] loss = 0.26736, acc = 0.90833  epoch 100
[ Valid | 102/600 ] loss = 0.29673, acc = 0.89328  epoch 101
[ Valid | 103/600 ] loss = 0.30630, acc = 0.90947  epoch 102
[ Valid | 104/600 ] loss = 0.33341, acc = 0.89640  epoch 103
[ Valid | 105/600 ] loss = 0.28439, acc = 0.92093 -> best epoch 104
[ Valid | 106/600 ] loss = 0.32410, acc = 0.89801  epoch 105
[ Valid | 107/600 ] loss = 0.29822, acc = 0.90644  epoch 106
[ Valid | 108/600 ] loss = 0.34602, acc = 0.88343  epoch 107
[ Valid | 109/600 ] loss = 0.36066, acc = 0.89081  epoch 108
[ Valid | 110/600 ] loss = 0.34500, acc = 0.89119  epoch 109
[ Valid | 111/600 ] loss = 0.37525, acc = 0.88769  epoch 110
[ Valid | 112/600 ] loss = 0.32877, acc = 0.90956  epoch 111
[ Valid | 113/600 ] loss = 0.35363, acc = 0.89489  epoch 112
[ Valid | 114/600 ] loss = 0.31065, acc = 0.89299  epoch 113
[ Valid | 115/600 ] loss = 0.39174, acc = 0.87036  epoch 114
[ Valid | 116/600 ] loss = 0.32346, acc = 0.91013  epoch 115
[ Valid | 117/600 ] loss = 0.23913, acc = 0.92453 -> best epoch 116
[ Valid | 118/600 ] loss = 0.33043, acc = 0.91004  epoch 117
[ Valid | 119/600 ] loss = 0.32972, acc = 0.90739  epoch 118
[ Valid | 120/600 ] loss = 0.34501, acc = 0.90530  epoch 119
[ Valid | 121/600 ] loss = 0.29071, acc = 0.90634  epoch 120
[ Valid | 122/600 ] loss = 0.33675, acc = 0.91250  epoch 121
[ Valid | 123/600 ] loss = 0.33460, acc = 0.91203  epoch 122
[ Valid | 124/600 ] loss = 0.32508, acc = 0.90417  epoch 123
[ Valid | 125/600 ] loss = 0.32029, acc = 0.89176  epoch 124
[ Valid | 126/600 ] loss = 0.34311, acc = 0.89612  epoch 125
[ Valid | 127/600 ] loss = 0.33692, acc = 0.90170  epoch 126
[ Valid | 128/600 ] loss = 0.30220, acc = 0.91307  epoch 127
[ Valid | 129/600 ] loss = 0.30590, acc = 0.91619  epoch 128
